,label,id,description,aliases
0,cites work,P2860,citation from one creative or scholarly work to another,"bibliographic citation, citation"
1,series ordinal,P1545,"position of an item in its parent series (most frequently a 1-based index), generally to be used as a qualifier (different from ""rank"" defined as a class, and from ""ranking"" defined as a property for evaluating a quality).","#, index, number, rank, n°, nº, №, num., ordinal, ordinal number, position in series, section number, series number, sort order, sorting order, unit number"
2,author name string,P2093,stores unspecified author or editor name for publications; use if Wikidata item for author (P50) or editor (P98) does not exist or is not known. Do not use both.,"byline, author string, creator name string, editor name string, maker name string, short author name, songwriting credits string"
3,instance of,P31,that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform),"example of, is an, rdf:type, unique individual of, unitary element of class, ∈, has type, is of type, item of type, type, is a"
4,retrieved,P813,date or point in time that information was retrieved from a database or website (for use in online sources),"reference date, access date, accessdate, accessed, consulted, date accessed, date of access, date of retrieval, date retrieved, retrieved at, retrieved date, time of retrieval, viewed on, viewed on date, visited at"
5,stated in,P248,to be used in the references field to refer to the information document or database in which a claim is made; for qualifiers use P805; for the type of document in which a claim is made use P3865,"cited by, cited in, cited from, cited at, cited on, stated on, in statement, originating source, source of claim, stated at"
6,reference URL,P854,"should be used for Internet URLs as references. Use ""Wikimedia import URL"" (P4656) for imports from WMF sites","stated at URL, ref URL, reference Uniform Resource Locator, source URL, url for reference, webref, website, URL, ref"
7,PubMed publication ID,P698,identifier for journal articles/abstracts in PubMed,"PMID, PubMed ID, PubMed reference number"
8,title,P1476,"published name of a work, such as a newspaper article, a literary work, piece of music, a website, or a performance work","article, name, full title, headline, known as, original title, titled"
9,publication date,P577,date or point in time when a work was first published or released,"drop date, air date, airdate, be published during, be published in, broadcast date, date of first publication, date of release, date published, first publication, first published, first released, pubdate, publication time, time of publication, was published during, was published in, year of publication, issued, publication, dop, published, initial release, released in, date released, released, release date, launch date, launched, date of publication"
10,published in,P1433,"larger work that a given work was published in, like a book, journal or music album","volume of the book, tome of, tome of the book, volume of, album, work, venue, music album, part of work, article of, chapter of, essay of, on the tracklist of, published in journal, song on, song on album, track of, track on, track on album"
11,page(s),P304,"page number of source referenced for statement. Note ""column(s)"" (P3903) and ""folio(s)"" (P7416) for other numbering systems","page cited, page referenced, page, p., pages, page number, page numbers, pg., pgs., pp."
12,volume,P478,volume of a book or music release in a collection/series or a published collection of journal issues in a serial publication,"number of series, tome, volume of a book, part number, vol., volume of serial, numbering of part, series numbering, number of part, numbering in series, numbering of volume, volume number"
13,issue,P433,"issue of a newspaper, a scientific journal or magazine for reference purpose","no., number, issue number"
14,DOI,P356,serial code used to uniquely identify digital objects like academic papers (use upper case letters only),"Digital Object Identifier, doi"
15,apparent magnitude,P1215,"measurement of the brightness of an astronomic object, as seen from the Earth",
16,astronomical filter,P1227,passband used to isolate particular sections of the electromagnetic spectrum,"filter, colour filter, wavelength band"
17,author,P50,"main creator(s) of a written work (use on works, not humans); use P2093 (author name string) when Wikidata item is unknown or does not exist","maker, writer, poet, playwright, creator, written by"
18,main subject,P921,primary topic of a work (see also P180: depicts),"descriptor (wd), main keyword, primary keyword, /common/topic/subject, content deals with, content describes, content is about, describes, has a subject, has topic, in regards to, is about, main issue, main theme, main thing, mainly about, plot keyword, primary subject, primary topic, regards, topic of work, subject, artistic theme, sitter, regarding, topic, theme, about, keyword, main topic, index term, subject heading"
19,catalog code,P528,"catalog name of an object, use with qualifier P972","register, astronomical catalog, registration number, cat. no., catalog number, cat#, catalogue code, catalogue number, identifier in catalog, enrollment number"
20,language of work or name,P407,"language associated with this creative work (such as books, shows, songs, broadcasts or websites) or a name (for persons use ""native language"" (P103) and ""languages spoken, written or signed"" (P1412))","language, audio language, available in, broadcasting language, language of name, language of spoken text, language of the name, language of the reference, language of URL, language of website, language of work, named in language, used language"
21,catalog,P972,"catalog for the item, or, as a qualifier of P528 – catalog for which the 'catalog code' is valid","exhibition catalogue, catalogue, registry"
22,object named as,P1932,use as qualifier to indicate how the object's value was given in the source,"location name string, object name string, place name string, author named as, sic, stated as, as, [sic], credited as, named as, object named as, object stated as, object value stated as, original wording, originally printed as, printed as, reference wording, source wording, stated author, value stated as"
23,country,P17,sovereign state that this item is in (not to be used for human beings),"host country, state, land, sovereign state"
24,point in time,P585,"date something took place, existed or a statement was true; for providing time use the ""refine date"" property (P4241)","point time, during, as of, at time, by date, occurred on, time of event, year, date, time, on, when"
